technique,year_start,year_end,num_groups,groups
Screen Capture,2017,2019,9,"OilRig, Group5, APT28, MuddyWater, BRONZE BUTLER, Magic Hound, Silence, FIN7, Dark Caracal"
Security Software Discovery,2018,2020,9,"Turla, Darkhotel, MuddyWater, The White Company, FIN8, Cobalt Group, Wizard Spider, Rocke, Tropic Trooper"
Security Software Discovery,2023,2025,9,"Malteiro, Gamaredon Group, APT42, Storm-0501, TA2541, Play, Medusa Group, ToddyCat, BlackByte"
Server,2020,2022,9,"Earth Lusca, GALLIUM, Kimsuky, Sandworm Team, Dragonfly, Indrik Spider, Lazarus Group, Turla, APT16"
Service Execution,2019,2021,9,"Blue Mockingbird, APT39, FIN6, Silence, Wizard Spider, Chimera, APT32, APT41, APT38"
Software Packing,2017,2019,9,"APT3, Patchwork, The White Company, Dark Caracal, APT29, APT39, GALLIUM, Elderwood, APT38"
Software Packing,2018,2020,9,"APT3, The White Company, Dark Caracal, Rocke, APT39, TA505, GALLIUM, Elderwood, APT38"
Software Packing,2019,2021,9,"The White Company, Kimsuky, Rocke, APT39, ZIRCONIUM, TA505, GALLIUM, TeamTNT, APT38"
Steganography,2020,2022,9,"APT37, Tropic Trooper, MuddyWater, Axiom, BRONZE BUTLER, Earth Lusca, TA551, Andariel, Leviathan"
System Network Connections Discovery,2018,2020,9,"APT41, APT38, OilRig, Tropic Trooper, APT32, APT3, APT1, GALLIUM, Sandworm Team"
System Network Connections Discovery,2022,2024,9,"HEXANE, INC Ransom, ToddyCat, Earth Lusca, Magic Hound, Volt Typhoon, APT5, FIN13, Lazarus Group"
Visual Basic,2022,2024,9,"Lazarus Group, Confucius, FIN13, Earth Lusca, HEXANE, RedCurl, TA2541, SideCopy, Malteiro"
Vulnerability Scanning,2020,2022,9,"Magic Hound, TeamTNT, Sandworm Team, Aquatic Panda, Earth Lusca, Volatile Cedar, APT29, APT28, Dragonfly"
Web Shell,2018,2020,9,"Kimsuky, Fox Kitten, APT32, GALLIUM, Threat Group-3390, Leviathan, APT39, OilRig, Tropic Trooper"
Acquire Infrastructure,2024,2026,8,"Ember Bear, Star Blizzard, Contagious Interview, Kimsuky, Sea Turtle, Sandworm Team, Agrius, Indrik Spider"
Archive via Utility,2020,2022,8,"Chimera, Fox Kitten, Kimsuky, Mustang Panda, Earth Lusca, HAFNIUM, APT28, Aquatic Panda"
Automated Collection,2018,2020,8,"Gamaredon Group, Tropic Trooper, FIN5, APT28, Patchwork, OilRig, APT1, menuPass"
Automated Collection,2019,2021,8,"Gamaredon Group, Tropic Trooper, Confucius, APT1, menuPass, Chimera, Sidewinder, Mustang Panda"
Automated Collection,2020,2022,8,"Gamaredon Group, Tropic Trooper, Ke3chang, Confucius, menuPass, Chimera, Sidewinder, Mustang Panda"
Command Obfuscation,2019,2021,8,"Silence, Chimera, TA551, FIN6, Turla, Wizard Spider, LazyScripter, GOLD SOUTHFIELD"
Command Obfuscation,2020,2022,8,"Aquatic Panda, HEXANE, Chimera, TA551, FIN6, Wizard Spider, LazyScripter, GOLD SOUTHFIELD"
Command and Scripting Interpreter,2017,2019,8,"APT19, Ke3chang, APT39, OilRig, FIN7, Stealth Falcon, FIN5, FIN6"
Command and Scripting Interpreter,2018,2020,8,"APT19, APT32, APT39, OilRig, FIN7, FIN5, Whitefly, Fox Kitten"
Credentials In Files,2019,2021,8,"TeamTNT, Leafminer, OilRig, APT33, MuddyWater, TA505, Fox Kitten, Kimsuky"
Credentials from Password Stores,2020,2022,8,"APT39, HEXANE, APT33, Leafminer, FIN6, OilRig, Evilnum, MuddyWater"
DLL,2017,2019,8,"APT32, APT19, Threat Group-3390, menuPass, Patchwork, Tropic Trooper, GALLIUM, APT3"
DNS,2018,2020,8,"APT39, APT18, Tropic Trooper, APT41, Ke3chang, Cobalt Group, FIN7, OilRig"
DNS,2020,2022,8,"APT39, APT18, Tropic Trooper, Ke3chang, Chimera, Cobalt Group, LazyScripter, OilRig"
Data from Local System,2024,2026,8,"OilRig, Agrius, MirrorFace, Aquatic Panda, RedCurl, ToddyCat, Ember Bear, VOID MANTICORE"
Disable or Modify Tools,2018,2020,8,"BRONZE BUTLER, Kimsuky, Rocke, Gamaredon Group, Turla, FIN6, Gorgon Group, Wizard Spider"
Domain Account,2018,2020,8,"Turla, GALLIUM, Wizard Spider, Fox Kitten, BRONZE BUTLER, Chimera, OilRig, Sandworm Team"
Domain Account,2025,2027,8,"VOID MANTICORE, Mustang Panda, Storm-0501, MirrorFace, Storm-1811, FIN7, Medusa Group, Lotus Blossom"
Domain Accounts,2024,2026,8,"VOID MANTICORE, Aquatic Panda, BlackByte, APT5, Play, ToddyCat, Agrius, OilRig"
Drive-by Compromise,2022,2024,8,"APT28, Magic Hound, Earth Lusca, Mustard Tempest, Axiom, Winter Vivern, CURIUM, Daggerfly"
Dynamic Data Exchange,2018,2020,8,"Cobalt Group, APT37, TA505, FIN7, Gallmaker, MuddyWater, APT28, Patchwork"
Encrypted/Encoded File,2024,2026,8,"Storm-1811, Kimsuky, Saint Bear, Moonstone Sleet, Malteiro, Contagious Interview, APT-C-36, MirrorFace"
Exfiltration Over C2 Channel,2017,2019,8,"Gamaredon Group, APT3, APT32, Stealth Falcon, Ke3chang, Lazarus Group, Kimsuky, GALLIUM"
Exfiltration Over C2 Channel,2018,2020,8,"Sandworm Team, APT3, MuddyWater, APT32, Wizard Spider, APT39, Kimsuky, GALLIUM"
Exfiltration Over C2 Channel,2023,2025,8,"Winter Vivern, LuminousMoth, CURIUM, Scattered Spider, Contagious Interview, Mustang Panda, Agrius, BlackByte"
Exploitation for Privilege Escalation,2017,2019,8,"APT28, Threat Group-3390, PLATINUM, FIN6, APT33, FIN8, Cobalt Group, APT32"
Exploitation for Privilege Escalation,2021,2023,8,"Turla, Tonto Team, MoustachedBouncer, ZIRCONIUM, Scattered Spider, APT29, LAPSUS$, BITTER"
Exploitation for Privilege Escalation,2022,2024,8,"MoustachedBouncer, Scattered Spider, APT29, LAPSUS$, BlackByte, BITTER, Volt Typhoon, OilRig"
Exploitation of Remote Services,2020,2022,8,"FIN7, MuddyWater, Tonto Team, Dragonfly, Fox Kitten, menuPass, Earth Lusca, Wizard Spider"
External Remote Services,2021,2023,8,"LAPSUS$, Scattered Spider, FIN13, Dragonfly, TeamTNT, APT29, Leviathan, APT28"
External Remote Services,2022,2024,8,"LAPSUS$, Scattered Spider, Akira, Play, FIN13, Volt Typhoon, Ember Bear, Sea Turtle"
External Remote Services,2023,2025,8,"Scattered Spider, Akira, Play, FIN13, Volt Typhoon, Ember Bear, Sea Turtle, Velvet Ant"
External Remote Services,2024,2026,8,"Akira, Play, Volt Typhoon, VOID MANTICORE, Ember Bear, APT-C-36, Sea Turtle, Velvet Ant"
Impersonation,2026,2028,8,"WIRTE, Kimsuky, Star Blizzard, MuddyWater, APT28, APT-C-36, VOID MANTICORE, MirrorFace"
Internet Connection Discovery,2023,2025,8,"TA2541, Magic Hound, FIN13, FIN8, Lotus Blossom, Volt Typhoon, HAFNIUM, APT29"
JavaScript,2023,2025,8,"Mustang Panda, TA577, Star Blizzard, Saint Bear, MoustachedBouncer, TA578, Contagious Interview, Winter Vivern"
JavaScript,2024,2026,8,"APT-C-36, Mustang Panda, TA577, Star Blizzard, Saint Bear, TA578, Contagious Interview, Winter Vivern"
Lateral Tool Transfer,2022,2024,8,"Agrius, INC Ransom, APT41, Aoqin Dragon, Volt Typhoon, Ember Bear, BlackByte, Magic Hound"
Local Account,2021,2023,8,"FIN13, Magic Hound, Wizard Spider, Dragonfly, Moses Staff, Kimsuky, TeamTNT, Chimera"
Local Data Staging,2023,2025,8,"UNC3886, APT5, Wizard Spider, Volt Typhoon, Storm-1811, Lotus Blossom, FIN13, Agrius"
Local Storage Discovery,2023,2025,8,"Volt Typhoon, Higaisa, Kimsuky, Lazarus Group, Tropic Trooper, ToddyCat, TeamTNT, Patchwork"
Native API,2018,2020,8,"Tropic Trooper, menuPass, Silence, Gamaredon Group, Gorgon Group, APT37, Turla, Chimera"
Native API,2019,2021,8,"Tropic Trooper, menuPass, Higaisa, Silence, Gamaredon Group, APT38, Turla, Chimera"
Network Service Discovery,2021,2023,8,"Naikon, FIN13, BlackTech, Magic Hound, BackdoorDiplomacy, Chimera, Lazarus Group, TeamTNT"
Network Share Discovery,2018,2020,8,"APT39, APT32, APT41, Wizard Spider, APT1, DarkVishnya, Sowbug, Tropic Trooper"
Network Share Discovery,2020,2022,8,"APT39, APT32, Tonto Team, Dragonfly, Wizard Spider, Chimera, DarkVishnya, APT38"
PowerShell,2025,2027,8,"Medusa Group, UNC3886, Scattered Spider, APT42, VOID MANTICORE, Storm-0501, Storm-1811, APT-C-36"
Process Discovery,2024,2026,8,"MirrorFace, Play, FIN7, Storm-0501, ToddyCat, APT5, UNC3886, Medusa Group"
Process Injection,2018,2020,8,"Silence, PLATINUM, Turla, APT32, APT37, Kimsuky, Cobalt Group, APT41"
Protocol Tunneling,2023,2025,8,"Magic Hound, Cinnamon Tempest, Ember Bear, Salt Typhoon, FIN13, FIN7, Mustang Panda, Scattered Spider"
Proxy,2020,2022,8,"Blue Mockingbird, LAPSUS$, Fox Kitten, CopyKittens, Sandworm Team, POLONIUM, Earth Lusca, Windigo"
Proxy,2021,2023,8,"LAPSUS$, MoustachedBouncer, Magic Hound, CopyKittens, POLONIUM, Earth Lusca, Volt Typhoon, Windigo"
Proxy,2022,2024,8,"LAPSUS$, MoustachedBouncer, Magic Hound, CopyKittens, POLONIUM, Earth Lusca, Volt Typhoon, Cinnamon Tempest"
Python,2021,2023,8,"Tonto Team, MuddyWater, ZIRCONIUM, APT37, Dragonfly, Cinnamon Tempest, Earth Lusca, Turla"
Registry Run Keys / Startup Folder,2023,2025,8,"TA2541, Moonstone Sleet, LuminousMoth, RedCurl, Storm-1811, Contagious Interview, FIN13, BlackByte"
Rundll32,2022,2024,8,"Lazarus Group, Kimsuky, Aquatic Panda, FIN7, RedCurl, Magic Hound, Wizard Spider, Daggerfly"
SMB/Windows Admin Shares,2023,2025,8,"Storm-1811, ToddyCat, Cinnamon Tempest, BlackByte, Play, Aquatic Panda, Velvet Ant, FIN13"
SSH,2023,2025,8,"Storm-1811, FIN13, UNC3886, Scattered Spider, Indrik Spider, Salt Typhoon, Aquatic Panda, APT5"
Security Software Discovery,2017,2019,8,"Darkhotel, MuddyWater, The White Company, FIN8, Cobalt Group, Naikon, Patchwork, Tropic Trooper"
Security Software Discovery,2021,2023,8,"Kimsuky, Windshift, Aquatic Panda, TA2541, TeamTNT, SideCopy, Sidewinder, APT38"
Security Software Discovery,2022,2024,8,"Kimsuky, Malteiro, Aquatic Panda, TA2541, Play, SideCopy, ToddyCat, BlackByte"
Security Software Discovery,2024,2026,8,"Malteiro, Gamaredon Group, APT42, Storm-0501, Play, Medusa Group, ToddyCat, BlackByte"
Server,2022,2024,8,"Earth Lusca, Volt Typhoon, Sandworm Team, Kimsuky, Mustard Tempest, Lazarus Group, CURIUM, Daggerfly"
Service Execution,2018,2020,8,"Blue Mockingbird, APT39, FIN6, Silence, Wizard Spider, APT32, APT41, Ke3chang"
Social Media Accounts,2021,2023,8,"Fox Kitten, EXOTIC LILY, Kimsuky, HEXANE, Lazarus Group, Magic Hound, Leviathan, CURIUM"
Social Media Accounts,2022,2024,8,"EXOTIC LILY, Moonstone Sleet, Kimsuky, HEXANE, Lazarus Group, Star Blizzard, CURIUM, Sandworm Team"
Social Media Accounts,2023,2025,8,"Moonstone Sleet, Medusa Group, Water Galura, Contagious Interview, Star Blizzard, Scattered Spider, CURIUM, Sandworm Team"
Social Media Accounts,2024,2026,8,"Moonstone Sleet, Medusa Group, VOID MANTICORE, Water Galura, Contagious Interview, Star Blizzard, Scattered Spider, Sandworm Team"
Software Discovery,2021,2023,8,"Windigo, HEXANE, Volt Typhoon, Mustang Panda, Windshift, SideCopy, MuddyWater, Sidewinder"
Spearphishing Attachment,2023,2025,8,"Saint Bear, Moonstone Sleet, Malteiro, TA2541, Winter Vivern, CURIUM, Star Blizzard, RedCurl"
Spearphishing Attachment,2024,2026,8,"Saint Bear, Moonstone Sleet, Malteiro, MirrorFace, Winter Vivern, CURIUM, Star Blizzard, RedCurl"
System Information Discovery,2025,2027,8,"MirrorFace, APT42, Contagious Interview, VOID MANTICORE, Medusa Group, Scattered Spider, FIN7, Storm-0501"
System Network Configuration Discovery,2024,2026,8,"Play, APT42, Medusa Group, Moonstone Sleet, MirrorFace, BlackByte, Scattered Spider, Lotus Blossom"
Vulnerability Scanning,2021,2023,8,"Magic Hound, TeamTNT, Aquatic Panda, Earth Lusca, Volatile Cedar, APT29, APT28, Dragonfly"
Web Shell,2024,2026,8,"Ember Bear, CURIUM, Sea Turtle, BlackByte, Mustang Panda, Agrius, APT5, Medusa Group"
Windows Service,2020,2022,8,"TeamTNT, DarkVishnya, Wizard Spider, APT38, Earth Lusca, APT32, PROMETHIUM, Blue Mockingbird"
Archive Collected Data,2017,2019,7,"APT32, menuPass, Lazarus Group, APT28, FIN6, Ke3chang, Patchwork"
Automated Collection,2017,2019,7,"Threat Group-3390, FIN5, FIN6, APT28, Patchwork, OilRig, APT1"
Bidirectional Communication,2018,2020,7,"APT12, Turla, APT37, Sandworm Team, FIN7, APT39, Magic Hound"
Bidirectional Communication,2021,2023,7,"ZIRCONIUM, Kimsuky, POLONIUM, Lazarus Group, APT28, HEXANE, MuddyWater"
Brute Force,2019,2021,7,"Fox Kitten, Dragonfly, APT39, APT28, DarkVishnya, APT38, APT41"
Brute Force,2020,2022,7,"Fox Kitten, Dragonfly, APT39, APT28, HEXANE, DarkVishnya, APT38"
Bypass User Account Control,2017,2019,7,"APT29, Threat Group-3390, APT37, BRONZE BUTLER, Cobalt Group, Patchwork, MuddyWater"
Cloud Accounts,2024,2026,7,"Storm-1811, HAFNIUM, VOID MANTICORE, Storm-0501, APT-C-36, Scattered Spider, APT5"
Code Signing,2022,2024,7,"Saint Bear, LuminousMoth, Lazarus Group, OilRig, Daggerfly, Scattered Spider, Moses Staff"
Code Signing,2023,2025,7,"Saint Bear, LuminousMoth, Mustang Panda, OilRig, Daggerfly, Scattered Spider, Medusa Group"
Command and Scripting Interpreter,2019,2021,7,"APT32, APT39, APT37, Windigo, Dragonfly, Whitefly, Fox Kitten"
Credentials In Files,2018,2020,7,"Leafminer, OilRig, APT33, MuddyWater, APT3, TA505, Fox Kitten"
Disable or Modify System Firewall,2024,2026,7,"ToddyCat, FIN7, Salt Typhoon, Velvet Ant, UNC3886, BlackByte, Medusa Group"
Disable or Modify Tools,2021,2023,7,"TA505, Magic Hound, Aquatic Panda, TA2541, MuddyWater, TeamTNT, Indrik Spider"
Disable or Modify Tools,2025,2027,7,"APT38, Velvet Ant, Medusa Group, UNC3886, MirrorFace, Contagious Interview, Scattered Spider"
Domain Account,2017,2019,7,"GALLIUM, Poseidon Group, FIN6, BRONZE BUTLER, menuPass, OilRig, Ke3chang"
Domain Account,2021,2023,7,"FIN13, Dragonfly, LAPSUS$, Volt Typhoon, MuddyWater, Wizard Spider, HAFNIUM"
Domain Groups,2023,2025,7,"INC Ransom, Medusa Group, Scattered Spider, Mustang Panda, Volt Typhoon, ToddyCat, FIN7"
Email Accounts,2025,2027,7,"Mustang Panda, APT42, VOID MANTICORE, APT-C-36, Medusa Group, Contagious Interview, WIRTE"
Email Addresses,2022,2024,7,"Moonstone Sleet, Saint Bear, HEXANE, Lazarus Group, LAPSUS$, EXOTIC LILY, Volt Typhoon"
Encrypted/Encoded File,2022,2024,7,"Moses Staff, TA2541, BITTER, Saint Bear, Moonstone Sleet, Malteiro, Metador"
Encrypted/Encoded File,2023,2025,7,"TA2541, Storm-1811, Saint Bear, Moonstone Sleet, Malteiro, Contagious Interview, Metador"
Exfiltration Over Unencrypted Non-C2 Protocol,2018,2020,7,"OilRig, APT33, FIN6, Wizard Spider, FIN8, Thrip, APT32"
Exploit Public-Facing Application,2025,2027,7,"Salt Typhoon, MirrorFace, UNC3886, Medusa Group, Leviathan, VOID MANTICORE, Storm-0501"
Exploitation for Client Execution,2022,2024,7,"Aoqin Dragon, Ember Bear, BITTER, Axiom, EXOTIC LILY, OilRig, Saint Bear"
Exploitation for Privilege Escalation,2020,2022,7,"Turla, Tonto Team, ZIRCONIUM, APT29, LAPSUS$, BITTER, Whitefly"
Exploitation for Privilege Escalation,2023,2025,7,"MoustachedBouncer, Scattered Spider, HAFNIUM, UNC3886, BlackByte, Volt Typhoon, OilRig"
Exploitation of Remote Services,2019,2021,7,"FIN7, Threat Group-3390, Tonto Team, Dragonfly, Fox Kitten, menuPass, Wizard Spider"
External Proxy,2017,2019,7,"menuPass, MuddyWater, GALLIUM, FIN5, Lazarus Group, APT28, APT3"
External Proxy,2018,2020,7,"Silence, APT39, MuddyWater, GALLIUM, FIN5, Lazarus Group, APT3"
External Remote Services,2017,2019,7,"Threat Group-3390, APT41, OilRig, GALLIUM, FIN5, APT18, Ke3chang"
Impersonation,2023,2025,7,"Scattered Spider, APT41, LAPSUS$, Saint Bear, Storm-1811, APT42, Contagious Interview"
JavaScript,2022,2024,7,"TA577, Star Blizzard, Earth Lusca, Saint Bear, MoustachedBouncer, TA578, Winter Vivern"
LSA Secrets,2020,2022,7,"Ke3chang, Leafminer, APT33, menuPass, MuddyWater, OilRig, Dragonfly"
LSASS Memory,2021,2023,7,"HAFNIUM, Indrik Spider, FIN13, Aquatic Panda, Wizard Spider, Volt Typhoon, Earth Lusca"
Lateral Tool Transfer,2020,2022,7,"Turla, Sandworm Team, Chimera, Aoqin Dragon, Wizard Spider, APT32, GALLIUM"
Local Data Staging,2018,2020,7,"Patchwork, Leviathan, GALLIUM, Kimsuky, APT39, APT3, FIN5"
Local Data Staging,2022,2024,7,"APT5, MuddyWater, TeamTNT, Wizard Spider, Volt Typhoon, FIN13, Agrius"
Local Storage Discovery,2024,2026,7,"Higaisa, Kimsuky, Lazarus Group, Tropic Trooper, ToddyCat, TeamTNT, Patchwork"
Masquerading,2022,2024,7,"FIN13, Agrius, Ember Bear, Aoqin Dragon, TeamTNT, Sandworm Team, Winter Vivern"
Masquerading,2023,2025,7,"FIN13, Contagious Interview, Agrius, Ember Bear, Storm-1811, Sandworm Team, Winter Vivern"
Mshta,2019,2021,7,"Sidewinder, LazyScripter, Kimsuky, APT32, Inception, TA551, Mustang Panda"
Mshta,2022,2024,7,"Earth Lusca, Lazarus Group, APT29, SideCopy, Confucius, TA2541, Gamaredon Group"
NTDS,2022,2024,7,"LAPSUS$, APT41, Volt Typhoon, FIN13, Sandworm Team, Ke3chang, Scattered Spider"
Process Injection,2023,2025,7,"APT38, APT5, TA2541, BlackByte, Gamaredon Group, Wizard Spider, Velvet Ant"
Proxy,2023,2025,7,"MoustachedBouncer, Magic Hound, Scattered Spider, Gamaredon Group, Contagious Interview, Volt Typhoon, Cinnamon Tempest"
Query Registry,2023,2025,7,"Volt Typhoon, Gamaredon Group, Lotus Blossom, Indrik Spider, APT41, BlackByte, Daggerfly"
Rundll32,2017,2019,7,"APT28, APT19, CopyKittens, TA505, APT3, Carbanak, MuddyWater"
Rundll32,2023,2025,7,"UNC3886, Storm-0501, Aquatic Panda, FIN7, RedCurl, Wizard Spider, Daggerfly"
SMB/Windows Admin Shares,2022,2024,7,"ToddyCat, Cinnamon Tempest, Moses Staff, BlackByte, Play, Aquatic Panda, FIN13"
SMB/Windows Admin Shares,2024,2026,7,"Storm-1811, ToddyCat, BlackByte, Play, Aquatic Panda, MirrorFace, Velvet Ant"
SSH,2024,2026,7,"Storm-1811, UNC3886, Scattered Spider, Indrik Spider, Salt Typhoon, Aquatic Panda, APT5"
Security Account Manager,2023,2025,7,"Agrius, Ember Bear, FIN13, APT29, APT5, Daggerfly, APT41"
Server,2021,2023,7,"Earth Lusca, Volt Typhoon, GALLIUM, Kimsuky, Dragonfly, Indrik Spider, Lazarus Group"
Software Packing,2020,2022,7,"Aoqin Dragon, Kimsuky, Rocke, ZIRCONIUM, TA505, TeamTNT, Threat Group-3390"
Software Packing,2021,2023,7,"Aoqin Dragon, Kimsuky, TA2541, ZIRCONIUM, TeamTNT, Threat Group-3390, MoustachedBouncer"
Software Packing,2022,2024,7,"APT41, Aoqin Dragon, Volt Typhoon, TA2541, Threat Group-3390, MoustachedBouncer, Saint Bear"
Software Packing,2023,2025,7,"APT41, Storm-0501, Volt Typhoon, TA2541, MoustachedBouncer, Saint Bear, Medusa Group"
Standard Encoding,2018,2020,7,"BRONZE BUTLER, MuddyWater, APT19, APT33, Lazarus Group, Sandworm Team, Tropic Trooper"
Steal Web Session Cookie,2023,2025,7,"Sandworm Team, APT42, Scattered Spider, Lotus Blossom, Kimsuky, LuminousMoth, Star Blizzard"
Symmetric Cryptography,2019,2021,7,"Higaisa, APT28, Inception, Mustang Panda, ZIRCONIUM, APT33, Darkhotel"
System Network Connections Discovery,2023,2025,7,"INC Ransom, Lotus Blossom, ToddyCat, Velvet Ant, Volt Typhoon, APT5, FIN13"
System Owner/User Discovery,2024,2026,7,"Winter Vivern, Moonstone Sleet, Aquatic Panda, Medusa Group, MirrorFace, Kimsuky, Storm-1811"
System Service Discovery,2020,2022,7,"Earth Lusca, TeamTNT, Chimera, Indrik Spider, Aquatic Panda, Kimsuky, BRONZE BUTLER"
Unix Shell,2024,2026,7,"Velvet Ant, Contagious Interview, Scattered Spider, Aquatic Panda, Volt Typhoon, UNC3886, Sea Turtle"
Web Shell,2017,2019,7,"APT32, GALLIUM, Threat Group-3390, Leviathan, APT39, Deep Panda, OilRig"
Windows Management Instrumentation,2025,2027,7,"Lotus Blossom, Velvet Ant, Medusa Group, MirrorFace, APT-C-36, VOID MANTICORE, APT42"
Windows Service,2023,2025,7,"Aquatic Panda, BlackByte, Agrius, Cinnamon Tempest, Lotus Blossom, OilRig, Medusa Group"
Asymmetric Cryptography,2023,2025,6,"RedCurl, Velvet Ant, RedEcho, TA2541, APT42, Medusa Group"
Automated Collection,2024,2026,6,"VOID MANTICORE, RedCurl, HAFNIUM, Agrius, Ember Bear, Winter Vivern"
Bidirectional Communication,2017,2019,6,"Carbanak, APT12, Turla, APT37, FIN7, Magic Hound"
Bidirectional Communication,2019,2021,6,"ZIRCONIUM, APT12, Sandworm Team, APT28, APT39, MuddyWater"
Brute Force,2018,2020,6,"Fox Kitten, APT39, OilRig, DarkVishnya, FIN5, APT41"
Clear Windows Event Logs,2017,2019,6,"FIN5, APT38, FIN8, APT41, APT28, APT32"
Cloud Accounts,2023,2025,6,"Storm-1811, HAFNIUM, APT29, Storm-0501, Scattered Spider, APT5"
Cloud Accounts,2025,2027,6,"Storm-1811, HAFNIUM, VOID MANTICORE, Storm-0501, APT-C-36, Scattered Spider"
Code Signing,2021,2023,6,"LuminousMoth, menuPass, Lazarus Group, GALLIUM, Scattered Spider, Moses Staff"
Code Signing,2024,2026,6,"Saint Bear, Mustang Panda, OilRig, Daggerfly, MirrorFace, Medusa Group"
Code Signing Certificates,2023,2025,6,"Daggerfly, Kimsuky, OilRig, Threat Group-3390, FIN8, Mustang Panda"
Command and Scripting Interpreter,2020,2022,6,"APT32, APT37, Windigo, Dragonfly, Whitefly, Fox Kitten"
Compromise Software Supply Chain,2019,2021,6,"GOLD SOUTHFIELD, Threat Group-3390, Dragonfly, APT41, Cobalt Group, Sandworm Team"
Credentials from Web Browsers,2017,2019,6,"APT37, Kimsuky, MuddyWater, Patchwork, TA505, Molerats"
Credentials from Web Browsers,2022,2024,6,"Volt Typhoon, Malteiro, LAPSUS$, APT41, HEXANE, RedCurl"
DLL,2023,2025,6,"Velvet Ant, FIN13, LuminousMoth, Cinnamon Tempest, Storm-1811, Daggerfly"
DLL,2024,2026,6,"Velvet Ant, MirrorFace, APT-C-36, WIRTE, Storm-1811, Daggerfly"
Digital Certificates,2023,2025,6,"Mustang Panda, UNC3886, LuminousMoth, Storm-0501, Sea Turtle, Gamaredon Group"
Domain Accounts,2020,2022,6,"Naikon, Sandworm Team, TA505, Chimera, Wizard Spider, Indrik Spider"
Domain Accounts,2021,2023,6,"Naikon, Chimera, Cinnamon Tempest, Volt Typhoon, Indrik Spider, Magic Hound"
Domain Trust Discovery,2023,2025,6,"Storm-1811, Storm-0501, Akira, BlackByte, Magic Hound, Lotus Blossom"
Domain Trust Discovery,2024,2026,6,"Storm-1811, Storm-0501, MirrorFace, Akira, BlackByte, Lotus Blossom"
Drive-by Target,2021,2023,6,"LuminousMoth, Dragonfly, Threat Group-3390, Transparent Tribe, FIN7, APT32"
Dynamic-link Library Injection,2019,2021,6,"Wizard Spider, Tropic Trooper, BackdoorDiplomacy, Turla, TA505, Leviathan"
Exfiltration Over C2 Channel,2021,2023,6,"LuminousMoth, Confucius, ZIRCONIUM, Higaisa, Leviathan, Chimera"
Exfiltration to Cloud Storage,2019,2021,6,"FIN7, Chimera, HAFNIUM, Turla, ZIRCONIUM, Leviathan"
File and Directory Discovery,2025,2027,6,"Medusa Group, UNC3886, Contagious Interview, Lotus Blossom, Velvet Ant, MirrorFace"
Financial Theft,2025,2027,6,"AppleJeus, Storm-0501, Medusa Group, Water Galura, Contagious Interview, VOID MANTICORE"
Indicator Removal from Tools,2017,2019,6,"GALLIUM, APT3, Deep Panda, OilRig, Patchwork, Turla"
Inhibit System Recovery,2023,2025,6,"Scattered Spider, Storm-0501, Sandworm Team, Medusa Group, BlackByte, Wizard Spider"
Inhibit System Recovery,2024,2026,6,"Scattered Spider, Storm-0501, VOID MANTICORE, Sandworm Team, Medusa Group, BlackByte"
Keylogging,2020,2022,6,"APT32, APT39, Sandworm Team, HEXANE, Ajax Security Team, Tonto Team"
Lateral Tool Transfer,2021,2023,6,"Sandworm Team, Chimera, Aoqin Dragon, Volt Typhoon, GALLIUM, Magic Hound"
Local Account,2017,2019,6,"APT3, admin@338, APT1, Threat Group-3390, APT41, Leafminer"
Local Accounts,2020,2022,6,"Turla, Tropic Trooper, FIN10, Kimsuky, HAFNIUM, PROMETHIUM"
Local Data Staging,2024,2026,6,"UNC3886, APT5, WIRTE, Storm-1811, Lotus Blossom, Agrius"
Local Storage Discovery,2025,2027,6,"Higaisa, Kimsuky, Lazarus Group, Tropic Trooper, TeamTNT, Patchwork"
Masquerade Task or Service,2022,2024,6,"Winter Vivern, Aquatic Panda, Lazarus Group, Magic Hound, FIN13, BITTER"
Masquerade Task or Service,2023,2025,6,"Storm-0501, Winter Vivern, Aquatic Panda, Magic Hound, FIN13, UNC3886"
Masquerading,2024,2026,6,"Contagious Interview, Agrius, Ember Bear, Storm-1811, Sandworm Team, Winter Vivern"
Match Legitimate Resource Name or Location,2025,2027,6,"OilRig, VOID MANTICORE, Velvet Ant, APT-C-36, Storm-1811, APT42"
Modify Registry,2021,2023,6,"Dragonfly, Turla, TA505, Earth Lusca, Magic Hound, LuminousMoth"
Multi-hop Proxy,2024,2026,6,"Ember Bear, Gamaredon Group, Volt Typhoon, Lotus Blossom, ZIRCONIUM, Medusa Group"
NTDS,2023,2025,6,"APT41, Volt Typhoon, FIN13, Sandworm Team, Medusa Group, Scattered Spider"
Native API,2021,2023,6,"BlackTech, Higaisa, SideCopy, APT38, Lazarus Group, TA505"
Native API,2022,2024,6,"BlackTech, SideCopy, ToddyCat, Lazarus Group, Sandworm Team, TA505"
Native API,2024,2026,6,"Medusa Group, Kimsuky, ToddyCat, Sandworm Team, WIRTE, Mustang Panda"
Non-Application Layer Protocol,2023,2025,6,"Mustang Panda, UNC3886, Ember Bear, ToddyCat, Gamaredon Group, Metador"
Non-Standard Port,2024,2026,6,"RedEcho, Velvet Ant, Ember Bear, Contagious Interview, MuddyWater, Gamaredon Group"
Phishing,2024,2026,6,"MuddyWater, INC Ransom, AppleJeus, Kimsuky, VOID MANTICORE, Sea Turtle"
